"membership_1","Type","Alcohol","Malic","Ash","Alcalinity","Magnesium","Phenols","Flavanoids","Nonflavanoids","Proanthocyanins","Color","Hue","Dilution","Proline","Comp.1","Comp.2","Comp.3"
1,1,14.23,1.71,2.43,15.6,127,2.8,3.06,0.28,2.29,5.64,1.04,3.92,1065,-3.52293390308179,1.45309843953583,-0.164795487556354
1,1,13.2,1.78,2.14,11.2,100,2.65,2.76,0.26,1.28,4.38,1.05,3.4,1050,-2.52885806184637,-0.330019251521414,-2.02670665216597
2,1,13.16,2.36,2.67,18.6,101,2.8,3.24,0.3,2.81,5.68,1.03,3.17,1185,-2.78502898415203,1.03693595258896,0.983237703009477
1,1,14.37,1.95,2.5,16.8,113,3.85,3.49,0.24,2.18,7.8,0.86,3.45,1480,-3.92258840777613,2.76821026184385,-0.174968168287344
2,1,13.24,2.59,2.87,21,118,2.8,2.69,0.39,1.82,4.32,1.04,2.93,735,-1.40751111197875,0.867773087265379,2.02582948517462
1,1,14.2,1.76,2.45,15.2,112,3.27,3.39,0.34,1.97,6.75,1.05,2.85,1450,-3.28812981479713,2.13017512915125,-0.628992338668433
1,1,14.39,1.87,2.45,14.6,96,2.5,2.52,0.3,1.98,5.25,1.02,3.58,1290,-2.75057754136764,1.179169985428,-0.977337470636187
2,1,14.06,2.15,2.61,17.6,121,2.6,2.51,0.31,1.25,5.05,1.06,3.58,1295,-2.39286651986964,1.61128232065344,0.1457294624034
1,1,14.83,1.64,2.17,14,97,2.8,2.98,0.29,1.98,5.2,1.08,2.85,1045,-2.79525633054667,0.923179516915521,-1.77092547760756
1,1,13.86,1.35,2.27,16,98,2.98,3.15,0.22,1.85,7.22,1.01,3.55,1045,-3.00559666400258,0.796284169422545,-0.983741629406041
1,1,14.1,2.16,2.3,18,105,2.95,3.32,0.22,2.38,5.75,1.25,3.17,1510,-3.67868855454691,1.31252342076756,-0.421854169926469
1,1,14.12,1.48,2.32,16.8,95,2.2,2.43,0.26,1.57,5,1.17,2.82,1280,-2.10963476717679,0.612981986402839,-1.19156995392878
1,1,13.75,1.73,2.41,16,89,2.6,2.76,0.29,1.81,5.6,1.15,2.9,1320,-2.43845636164471,0.67852331002953,-0.865513700575233
1,1,14.75,1.73,2.39,11.4,91,3.1,3.69,0.43,2.81,5.4,1.25,2.73,1150,-3.67349453185187,1.14012135516625,-1.20376870242097
1,1,14.38,1.87,2.38,12,102,3.3,3.64,0.29,2.96,7.5,1.2,3,1547,-4.44157575079997,2.11031917032812,-1.26245040896205
2,1,13.63,1.81,2.7,17.2,112,2.85,2.91,0.3,1.46,7.3,1.28,2.88,1310,-2.60892387001125,1.66641801070956,0.217632760140192
2,1,14.3,1.92,2.72,20,120,2.8,3.14,0.33,1.97,6.2,1.07,2.65,1280,-2.47542845927375,2.33089671673848,0.831602070574921
2,1,13.83,1.57,2.62,20,115,2.95,3.4,0.4,1.72,6.6,1.13,2.57,1130,-2.22623243463865,1.63359016183863,0.794557947385198
1,1,14.19,1.59,2.48,16.5,108,3.3,3.93,0.32,1.86,8.7,1.23,2.82,1680,-3.74226929154367,2.52840526619883,-0.484832351043801
1,1,13.64,3.1,2.56,15.2,116,2.7,3.03,0.17,1.66,5.1,0.96,3.36,845,-2.39441149983179,1.06452945680444,-0.164711760833713
1,1,14.06,1.63,2.28,16,126,3,3.17,0.24,2.1,5.65,1.09,3.71,780,-3.33656895342439,0.79601279402859,-0.363852323290555
2,1,12.93,3.8,2.65,18.6,102,2.41,2.41,0.25,1.98,4.5,1.03,3.52,770,-1.48140399081155,0.240085474188392,0.936230971440758
1,1,13.71,1.86,2.36,16.6,101,2.61,2.88,0.27,1.69,3.8,1.11,4,1035,-2.82806867278622,-0.0868575523889233,-0.311966722084233
